from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled,from_lat,from_lon,to_lat,to_lon
hefei,1000.0,anhui,zhuhai,1004.0,guangdong,flight,HFE,ZUH,155,,,6247,china southern airlines,True,,,,
hefei,1000.0,anhui,beijing,1001.0,beijing,flight,HFE,PKX,100,,,3451,xiamen airlines,True,,,,
hefei,1000.0,anhui,urumqi,3005.0,xinjiang,flight,HFE,URC,290,,,8514,china southern airlines,True,,,,
hefei,1000.0,anhui,qingdao,1016.0,shandong,flight,HFE,TAO,100,,,5390,beijing capital airlines,True,,,,
hefei,1000.0,anhui,ordos,3002.0,inner mongolia,flight,HFE,DSN,135,,,6821,china eastern airlines,True,,,,
hefei,1000.0,anhui,yuncheng,1018.0,shanxi,flight,HFE,YCU,90,,,8809,xiamen airlines,True,,,,
hefei,1000.0,anhui,zunyi,1006.0,guizhou,flight,HFE,WMT,135,,,7126,colorful guizhou airlines,True,,,,
hefei,1000.0,anhui,zhengzhou,1009.0,henan,flight,HFE,CGO,75,,,4114,longhao airlines,True,,,,
hefei,1000.0,anhui,shanghai,1017.0,shanghai,flight,HFE,PVG,80,,,5611,juneyao airlines,True,,,,
hefei,1000.0,anhui,ezhou,1010.0,hubei,flight,HFE,EHU,45,,,7077,sf airlines,True,,,,
hefei,1000.0,anhui,songyuan,1014.0,jilin,flight,HFE,YSQ,180,,,1559,9 air co,True,,,,
hefei,1000.0,anhui,beihai,1005.0,guangxizhuangzuzizhiqu,flight,HFE,BHY,175,,,6907,spring airlines,True,,,,
hefei,1000.0,anhui,dali,3006.0,yunnan,flight,HFE,DLU,195,,,5364,air china ltd,True,,,,
hefei,1000.0,anhui,dazhou,1019.0,sichuan,flight,HFE,DZH,120,,,5154,tibet airlines,True,,,,
huangshan,1000.0,anhui,xiamen,1003.0,fujian,flight,TXN,XMN,80,,,5001,hainan airlines,True,,,,
huangshan,1000.0,anhui,xian,1018.0,shanxi,flight,TXN,XIY,140,,,5002,hainan airlines,True,,,,
huangshan,1000.0,anhui,beijing,1001.0,beijing,flight,TXN,PEK,140,,,5072,shandong airlines,True,,,,
huangshan,1000.0,anhui,shenzhen,1004.0,guangdong,flight,TXN,SZX,120,,,6848,china southern airlines,True,,,,
beijing,1001.0,beijing,shenzhen,1004.0,guangdong,flight,PEK,SZX,210,,,1331,shenzhen airlines,True,,,,
beijing,1001.0,beijing,guangzhou,1004.0,guangdong,flight,PEK,CAN,205,,,1351,shenzhen airlines,True,,,,
beijing,1001.0,beijing,chongqing,1002.0,chongqing,flight,PEK,CKG,160,,,5031,shandong airlines,True,,,,
beijing,1001.0,beijing,nantong,1012.0,jiangsu,flight,PEK,NTG,110,,,5662,shandong airlines,True,,,,
beijing,1001.0,beijing,wuhan,1010.0,hubei,flight,PEK,WUH,140,,,5788,ana,True,,,,
beijing,1001.0,beijing,chengdu,1019.0,sichuan,flight,PEK,TFU,185,,,7147,lucky air,True,,,,
beijing,1001.0,beijing,hangzhou,1021.0,zhejiang,flight,PEK,HGH,135,,,7277,hainan airlines,True,,,,
beijing,1001.0,beijing,haikou,3001.0,hainan,flight,PEK,HAK,225,,,7382,hainan airlines,True,,,,
beijing,1001.0,beijing,shanghai,1017.0,shanghai,flight,PEK,SHA,140,,,7603,hainan airlines,True,,,,
beijing,1001.0,beijing,sapporo,201.0,hokkaido,flight,PEK,CTS,275,,,5756,ana,True,,,,
beijing,1001.0,beijing,luliang,1018.0,shanxi,flight,PEK,LLV,80,,,1143,shenzhen airlines,True,,,,
beijing,1001.0,beijing,guiyang,1006.0,guizhou,flight,PEK,KWE,210,,,1433,shenzhen airlines,True,,,,
beijing,1001.0,beijing,yichang,1010.0,hubei,flight,PEK,YIH,145,,,7185,guangxi beibu gulf airlines,True,,,,
beijing,1001.0,beijing,wenzhou,1021.0,zhejiang,flight,PEK,WNZ,160,,,7291,hainan airlines,True,,,,
beijing,1001.0,beijing,langzhong,1019.0,sichuan,flight,PEK,LZG,175,,,7883,hainan airlines,True,,,,
beijing,1001.0,beijing,bayannur,3002.0,inner mongolia,flight,PEK,RLK,105,,,1147,shenzhen airlines,True,,,,
beijing,1001.0,beijing,changsha,1011.0,hunan,flight,PEK,CSX,170,,,3703,air new zealand,True,,,,
beijing,1001.0,beijing,nanchang,1013.0,jiangxi,flight,PEK,KHN,145,,,1537,shenzhen airlines,True,,,,
beijing,1001.0,beijing,ningbo,1021.0,zhejiang,flight,PEK,NGB,155,,,5139,shandong airlines,True,,,,
beijing,1001.0,beijing,urumqi,3005.0,xinjiang,flight,PEK,URC,260,,,1145,hong kong airlines,True,,,,
beijing,1001.0,beijing,tokyo,213.0,tokyo,flight,PEK,HND,255,,,6653,air china ltd,True,,,,
beijing,1001.0,beijing,xian,1018.0,shanxi,flight,PEK,XIY,150,,,5339,shandong airlines,True,,,,
beijing,1001.0,beijing,yantai,1016.0,shandong,flight,PEK,YNT,85,,,3929,air new zealand,True,,,,
beijing,1001.0,beijing,xiamen,1003.0,fujian,flight,PEK,XMN,175,,,2556,shenzhen airlines,True,,,,
beijing,1001.0,beijing,chengdu,1019.0,sichuan,flight,PEK,CTU,175,,,1421,shenzhen airlines,True,,,,
beijing,1001.0,beijing,lanzhou,3000.0,gansu,flight,PEK,LHW,145,,,3817,air new zealand,True,,,,
beijing,1001.0,beijing,fuzhou,1003.0,fujian,flight,PEK,FOC,160,,,5063,shandong airlines,True,,,,
beijing,1001.0,beijing,harbin,1008.0,heilongjiang,flight,PEK,HRB,105,,,3974,air new zealand,True,,,,
beijing,1001.0,beijing,kunming,3006.0,yunnan,flight,PEK,KMG,235,,,9988,lucky air,True,,,,
beijing,1001.0,beijing,osaka,227.0,osaka,flight,PEK,KIX,220,,,5722,ana,True,,,,
beijing,1001.0,beijing,dazhou,1019.0,sichuan,flight,PEK,DZH,155,,,1489,shenzhen airlines,True,,,,
beijing,1001.0,beijing,qingdao,1016.0,shandong,flight,PEK,TAO,85,,,3938,air new zealand,True,,,,
beijing,1001.0,beijing,shiyan,1010.0,hubei,flight,PEK,WDS,125,,,1923,shenzhen airlines,True,,,,
beijing,1001.0,beijing,tokyo,213.0,tokyo,flight,PEK,NRT,265,,,5702,ana,True,,,,
beijing,1001.0,beijing,sanya,3001.0,hainan,flight,PEK,SYX,250,,,1387,shenzhen airlines,True,,,,
beijing,1001.0,beijing,shaoyang,1011.0,hunan,flight,PEK,WGN,170,,,1391,shenzhen airlines,True,,,,
beijing,1001.0,beijing,shenyang,1015.0,liaoning,flight,PEK,SHE,85,,,3980,air new zealand,True,,,,
